"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRH2",4.96806539354072,-2.24392055537234,0.106338277986982,-21.1017198872362,7.6695190795151e-99,1.41387584230861e-94
"RAB40AL",2.62580243025276,-2.34462052124126,0.141600145438919,-16.5580375215973,1.40089271446848e-61,1.29127285956132e-57
"LOC91450",3.20571860844369,-2.05055245961094,0.141749996628475,-14.4659788951207,1.98757014091314e-47,1.22136185159112e-43
"QRFP",1.04250130987113,-2.75896418235976,0.197910639929611,-13.9404540520965,3.59644920842607e-44,1.65751352893337e-40
"CPLX2",62.2754513723963,29.9593581900972,2.19508386451763,13.6483888722315,2.0639127387678e-42,7.60964626783687e-39
"PLB1",59.0708784336656,-4.76478452898623,0.381442606258226,-12.4914848284164,8.30883189446381e-36,2.55288859957401e-32
