"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","50/3810","86/8645",0.00583492000901488,0.0246525370380879,0.0150479516021963,"6198/836/83439/6934/5293/2885/51176/5601/6932/5898/7048/5881/842/2353/2932/1647/7046/5880/7042/324/3725/7157/10912/5295/1643/5594/387/7040/1499/595/572/3845/332/4089/5290/8312/1956/54205/7039/27113/3265/5605/1630/6199/5602/4893/4616/5879/5604/596",50
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","58/3810","102/8645",0.00608215127586638,0.0253798411264548,0.0154918992861574,"5878/909/913/1288/911/836/910/3914/5747/2920/4790/5293/5582/2919/912/284217/3918/22798/5578/929/1511/2921/7879/3913/7042/5579/5052/5272/733/5295/10319/2769/3553/5330/6318/1285/5868/23236/87/3908/3684/7040/7850/732/3689/5273/5869/1287/1437/3569/2335/5290/2778/7124/5332/3458/5566/3315",58
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","40/3810","67/8645",0.0070558922593741,0.0290840437032737,0.0177529509991954,"5914/6198/3728/83439/6934/4790/5293/2885/51176/8900/6932/7704/5292/929/1436/3815/890/5371/1147/5295/5594/597/6776/3684/595/6688/8864/572/3845/1437/5290/6774/861/3265/5605/1053/6199/2322/4893/5604",40
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","78/3810","143/8645",0.00714951857416427,0.0291149069646689,0.0177717899877767,"7703/7481/2264/3626/5462/11211/3976/1749/5293/2885/463/5460/3479/3400/8324/7484/6932/8321/10637/130399/2932/3717/80326/3198/2247/9314/3977/5080/56916/7044/3175/8326/4090/324/2263/6498/1855/5295/51384/3718/3720/1432/5594/4211/8323/5013/7473/1499/81029/7474/8325/84759/3398/91/3397/3845/4089/1856/5290/3624/4086/7855/8312/6657/2261/6774/3231/84333/2535/89780/3265/5605/7479/2103/5600/4893/5604/7477",78
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","29/3810","46/8645",0.00728984716984679,0.02917384714259,0.0178077671751717,"5709/5691/5717/10197/5718/5705/5707/10213/5713/5688/5687/51371/5708/5693/9491/5706/5682/11047/5704/5684/5695/5699/9861/5710/5714/5685/5686/5683/3458",29
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","75/3810","137/8645",0.0073366183642608,0.02917384714259,0.0178077671751717,"147179/4772/2185/63916/5747/4790/5293/10163/114548/29110/644150/5601/10458/3606/5881/57180/2353/2932/7454/71/6196/834/5880/1147/3725/4210/5295/7535/27040/9138/5609/3553/5829/9844/5335/10094/3932/6195/1432/5594/4792/926/27330/148022/1399/387/6416/3654/7409/10097/23396/920/1793/6714/4773/3569/2335/7410/5290/4775/925/3984/7124/29108/391/7456/998/5605/5600/10096/5602/2212/5879/5604/6197",75
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","44/3810","75/8645",0.00752868507436736,0.0292627428024578,0.0178620292409895,"7350/6319/51/376497/1374/10580/3157/10999/10873/2181/1581/729359/5346/10062/364/9415/4023/51703/2180/4199/9370/2167/7316/2172/2182/30/5106/1593/5465/51129/5468/8310/79966/23205/1375/948/3611/5105/4312/1622/6342/116519/5360/6256",44
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","71/3810","129/8645",0.00756543581590458,0.0292627428024578,0.0178620292409895,"2785/2788/1288/53358/196883/4790/5293/2885/5601/7048/5578/2353/55970/7046/2771/2791/4842/54331/6019/6013/109/3725/5295/148327/5609/2769/5330/2784/59/1910/1285/1432/5594/4792/23236/9586/399694/5590/6416/7040/408/4322/6714/2793/1287/3845/7423/2790/5290/10488/64764/2778/1956/2783/2773/84699/5332/51289/4312/10681/25759/409/3265/5605/5600/59345/5602/4893/5604/114/5566",71
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","45/3810","77/8645",0.00761870226809553,0.0292627428024578,0.0178620292409895,"1915/718/5743/4790/2353/3717/1379/3460/3115/3112/7042/5579/3111/3119/3725/3127/4689/3553/3108/1535/3123/1432/5594/4792/653361/9103/3113/3122/3654/6772/3684/7040/2215/1378/3689/3459/3552/3109/3117/1536/7124/3458/5600/2212/5777",45
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","64/3810","115/8645",0.00788201694304668,0.0295991270178842,0.0180673587527415,"2185/10411/5781/83692/5010/5747/5336/7122/149461/100506658/5293/1495/5582/3383/9071/5578/58494/7294/4636/71/2771/644672/5880/24146/5579/7430/5295/83593/4689/10398/4478/5829/5335/1535/1432/6494/1003/87/5175/3702/653361/9075/387/9076/7409/3684/1499/6387/3689/83700/50848/90952/9074/1496/7410/5290/1536/7412/2773/7852/11069/998/5600/5879",64
